,customer_id,snapshot,total_order_value,total_orders_placed,historic_avg_order_value,total_discounts,total_orders_returned,unique_products_ordered,total_discount_value,total_returns_value,snapshot_order_value,snapshot_orders_placed,snapshot_avg_order_value,snapshot_total_discounts,snapshot_orders_returned,snapshot_unique_products_ordered,snapshot_discount_value,snapshot_returns_value,customer_age,customer_churned
0,12395.0,2011-02-01,676.9699999999999,3,225.65666666666664,0,1,29,0.0,2.95,543.1600000000001,3,181.05333333333337,0,1,22,0.0,14.850000000000001,110,0
1,12395.0,2011-04-01,1220.1299999999999,6,203.355,0,2,44,0.0,17.8,331.7900000000001,2,165.89500000000004,0,0,19,0.0,0.0,160,0
2,12395.0,2011-06-01,1551.92,8,193.99,0,2,59,0.0,17.8,163.89999999999998,1,163.89999999999998,0,0,10,0.0,0.0,209,0
3,12395.0,2011-08-01,1715.8199999999997,9,190.64666666666665,0,2,62,0.0,17.8,165.95,1,165.95,0,0,7,0.0,0.0,259,0
4,12395.0,2011-10-01,1881.77,10,188.177,0,2,65,0.0,17.8,1116.51,5,223.302,0,1,45,0.0,2.55,356,1
5,12395.0,2011-12-01,2998.280000000001,15,199.88533333333342,0,3,91,0.0,20.35,0.0,0,0.0,0,0,0,0.0,0.0,0,1
6,12399.0,2011-04-01,288.04999999999995,1,288.04999999999995,0,0,20,0.0,0.0,480.89999999999986,1,480.89999999999986,0,0,22,0.0,0.0,48,0
7,12399.0,2011-06-01,768.9499999999999,2,384.47499999999997,0,0,33,0.0,0.0,130.08,1,130.08,0,0,5,0.0,0.0,78,0
8,12399.0,2011-08-01,899.0300000000001,3,299.6766666666667,0,0,37,0.0,0.0,209.62,1,209.62,0,0,12,0.0,0.0,142,1
9,12399.0,2011-10-01,1108.65,4,277.1625,0,0,47,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
10,12422.0,2011-02-01,238.5,1,238.5,0,0,13,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
11,12422.0,2011-08-01,655.86,2,327.93,0,0,31,0.0,0.0,147.7,1,147.7,0,0,8,0.0,0.0,229,1
12,12422.0,2011-10-01,803.56,3,267.8533333333333,0,0,39,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
13,12449.0,2011-08-01,858.9300000000001,1,858.9300000000001,0,0,48,0.0,0.0,1865.6499999999999,2,932.8249999999999,0,0,62,0.0,0.0,96,0
14,12449.0,2011-10-01,2724.579999999999,3,908.193333333333,0,0,85,0.0,0.0,1342.7099999999996,1,1342.7099999999996,0,0,59,0.0,0.0,165,1
15,12449.0,2011-12-01,4067.29,4,1016.8225,0,0,119,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
16,12450.0,2011-08-01,197.88,2,98.94,0,0,7,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
17,12472.0,2011-02-01,2334.36,3,778.12,0,1,103,0.0,122.30000000000001,442.6000000000001,3,147.53333333333336,0,2,39,0.0,149.58,119,1
18,12472.0,2011-04-01,2776.959999999998,6,462.82666666666637,0,3,123,0.0,271.88,0.0,0,0.0,0,0,0,0.0,0.0,0,0
19,12472.0,2011-08-01,4628.629999999999,9,514.2922222222221,0,4,189,0.0,298.96999999999997,0.0,0,0.0,0,0,0,0.0,0.0,0,0
20,12472.0,2011-12-01,6229.479999999997,13,479.190769230769,0,6,229,0.0,342.6299999999999,0.0,0,0.0,0,0,0,0.0,0.0,0,1
21,12473.0,2011-08-01,595.73,3,198.57666666666668,0,2,34,0.0,76.46000000000002,514.06,1,514.06,0,0,30,0.0,0.0,77,0
22,12473.0,2011-10-01,1109.7900000000004,4,277.4475000000001,0,2,60,0.0,76.46000000000002,1738.44,5,347.688,0,2,100,0.0,1013.8600000000001,162,1
23,12473.0,2011-12-01,2848.2299999999987,9,316.46999999999986,0,4,140,0.0,1090.32,0.0,0,0.0,0,0,0,0.0,0.0,0,1
24,12512.0,2011-12-01,138.03,2,69.015,0,0,31,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
25,12571.0,2011-10-01,248.34999999999997,1,248.34999999999997,0,0,14,0.0,0.0,271.26000000000005,1,271.26000000000005,0,0,20,0.0,0.0,82,1
