,customer_id,snapshot,total_order_value,total_orders_placed,historic_avg_order_value,total_discounts,total_orders_returned,unique_products_ordered,total_discount_value,total_returns_value,snapshot_order_value,snapshot_orders_placed,snapshot_avg_order_value,snapshot_total_discounts,snapshot_orders_returned,snapshot_unique_products_ordered,snapshot_discount_value,snapshot_returns_value,customer_age,customer_churned
0,12427.0,2010-12-01,0.0,0,0.0,0,0,0,0.0,0.0,246.54999999999998,2,123.27499999999999,0,1,10,0.0,56.949999999999996,20,1
1,12427.0,2011-02-01,246.54999999999998,2,123.27499999999999,0,1,10,0.0,56.949999999999996,0.0,0,0.0,0,0,0,0.0,0.0,0,1
2,12427.0,2011-12-01,708.37,5,141.674,0,2,26,0.0,117.43,0.0,0,0.0,0,0,0,0.0,0.0,0,1
3,12437.0,2010-12-01,0.0,0,0.0,0,0,0,0.0,0.0,337.94999999999993,2,168.97499999999997,0,1,7,0.0,54.75,19,0
4,12437.0,2011-02-01,337.94999999999993,2,168.97499999999997,0,1,7,0.0,54.75,737.9699999999999,4,184.49249999999998,0,0,34,0.0,0.0,63,0
5,12437.0,2011-04-01,1075.92,6,179.32000000000002,0,1,38,0.0,54.75,844.4200000000001,3,281.47333333333336,0,0,24,0.0,0.0,133,0
6,12437.0,2011-06-01,1920.34,9,213.3711111111111,0,1,50,0.0,54.75,501.64,1,501.64,0,0,13,0.0,0.0,154,0
7,12437.0,2011-08-01,2421.98,10,242.198,0,1,58,0.0,54.75,557.28,3,185.76,0,0,22,0.0,0.0,253,0
8,12437.0,2011-10-01,2979.2599999999998,13,229.17384615384614,0,1,66,0.0,54.75,1751.5,5,350.3,0,0,74,0.0,0.0,322,0
9,12437.0,2011-12-01,4730.76,18,262.82,0,1,120,0.0,54.75,165.9,1,165.9,0,0,3,0.0,0.0,330,1
10,12446.0,2010-12-01,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
11,12446.0,2011-12-01,1002.3100000000001,1,1002.3100000000001,0,0,58,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
12,12452.0,2010-12-01,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
13,12452.0,2011-12-01,428.57000000000005,3,142.85666666666668,0,1,21,0.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
14,12461.0,2010-12-01,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
15,12461.0,2011-08-01,626.8800000000001,1,626.8800000000001,0,0,34,0.0,0.0,200.0,1,200.0,0,0,1,0.0,0.0,60,1
16,12461.0,2011-10-01,826.8800000000001,2,413.44000000000005,0,0,35,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
17,12477.0,2010-12-01,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0
18,12477.0,2011-04-01,2351.7499999999995,2,1175.8749999999998,0,1,54,0.0,4.199999999999999,2221.0200000000004,1,2221.0200000000004,0,0,57,0.0,0.0,72,1
19,12477.0,2011-06-01,4572.770000000001,3,1524.2566666666671,0,1,98,0.0,4.199999999999999,0.0,0,0.0,0,0,0,0.0,0.0,0,0
20,12477.0,2011-10-01,8731.300000000001,6,1455.216666666667,0,3,158,0.0,102.72999999999999,4385.710000000001,3,1461.9033333333336,0,0,91,0.0,0.0,289,1
21,12477.0,2011-12-01,13117.010000000004,9,1457.445555555556,0,3,194,0.0,102.72999999999999,0.0,0,0.0,0,0,0,0.0,0.0,0,1
22,12488.0,2010-12-01,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
23,12488.0,2011-10-01,553.3900000000001,1,553.3900000000001,0,0,21,0.0,0.0,745.2700000000001,2,372.63500000000005,0,0,33,0.0,0.0,66,1
24,12488.0,2011-12-01,1298.6600000000003,3,432.88666666666677,0,0,46,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,1
25,12490.0,2010-12-01,0.0,0,0.0,0,0,0,0.0,0.0,864.2199999999999,1,864.2199999999999,0,0,43,0.0,0.0,0,1
26,12490.0,2011-02-01,864.2199999999999,1,864.2199999999999,0,0,43,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0
27,12490.0,2011-06-01,1195.72,2,597.86,0,0,51,0.0,0.0,896.9899999999999,2,448.49499999999995,0,0,41,0.0,0.0,191,0
28,12490.0,2011-08-01,2092.709999999999,4,523.1774999999998,0,0,70,0.0,0.0,1459.8799999999999,2,729.9399999999999,0,0,57,0.0,0.0,236,0
